完山利行,-1,-1,1,名詞,固有名詞,人名,姓名,*,*,完山利行,かんやまとしゆき,カンヤマトシユキ
村上剛士,-1,-1,1,名詞,固有名詞,人名,姓名,*,*,村上剛士,むらかみつよし,ムラカミツヨシ
村上智之,-1,-1,1,名詞,固有名詞,人名,姓名,*,*,村上智之,むらかみともゆき,ムラカミトモユキ
上田佳吾,-1,-1,1,名詞,固有名詞,人名,姓名,*,*,上田佳吾,うえだけいご,ウエダケイゴ
耐風試験室,-1,-1,1,名詞,固有名詞,組織,*,*,*,耐風試験室,たいふうしけんしつ,タイフウシケンシツ
環境部,-1,-1,1,名詞,固有名詞,組織,*,*,*,環境部,かんきょうぶ,カンキョウブ
物品等購買伺,-1,-1,1,名詞,固有名詞,一般,*,*,*,物品等購買伺,ぶっぴんとうこうばいうかがい,ブッピントウコウバイウカガイ
固定資産購買伺,-1,-1,1,名詞,固有名詞,一般,*,*,*,物品等購買伺,こていしさんこうばいうかがい,コテイシサンコウバイウカガイ
構造部,-1,-1,1,名詞,固有名詞,組織,*,*,*,構造部,かんきょうぶ,カンキョウブ
材料部,-1,-1,1,名詞,固有名詞,組織,*,*,*,材料部,かんきょうぶ,カンキョウブ
品質保証部,-1,-1,1,名詞,固有名詞,組織,*,*,*,品質保証部,かんきょうぶ,カンキョウブ
総務部,-1,-1,1,名詞,固有名詞,組織,*,*,*,総務部,かんきょうぶ,カンキョウブ
認証部,-1,-1,1,名詞,固有名詞,組織,*,*,*,認証部,かんきょうぶ,カンキョウブ
構造計算判定部,-1,-1,1,名詞,固有名詞,組織,*,*,*,構造計算判定部,かんきょうぶ,カンキョウブ
建築確認評定部,-1,-1,1,名詞,固有名詞,組織,*,*,*,建築確認評定部,かんきょうぶ,カンキョウブ
理事長,-1,-1,1,名詞,固有名詞,役職,*,*,*,理事長,りじちょう,リジョチョウ
副理事長,-1,-1,1,名詞,固有名詞,役職,*,*,*,副理事長,ふくりじちょう,フクリジョチョウ
事務局長,-1,-1,1,名詞,固有名詞,役職,*,*,*,事務局長,ふくりじちょう,フクリジョチョウ
常務理事,-1,-1,1,名詞,固有名詞,役職,*,*,*,常務理事,じょうむりじ,ジョウムリジ
常任理事,-1,-1,1,名詞,固有名詞,役職,*,*,*,常任理事,じょうむりじ,ジョウムリジ
事務局担当理事,-1,-1,1,名詞,固有名詞,役職,*,*,*,事務局担当理事,じむきょくたんとうりじ,ジムキョクタントウリジ
事務局長兼建築確検査センター長,-1,-1,1,名詞,固有名詞,役職,*,*,*,事務局長兼建築確検査センター長,,
所長兼製品認定センター長,-1,-1,1,名詞,固有名詞,役職,*,*,*,所長兼製品認定センター長,,
理事・システム認証センター長,-1,-1,1,名詞,固有名詞,役職,*,*,*,理事・システム認証センター長,,
副所長兼建築評定センター長,-1,-1,1,名詞,固有名詞,役職,*,*,*,副所長兼建築評定センター長,,
監事,-1,-1,1,名詞,固有名詞,役職,*,*,*,監事,かんじ,カンジ
総務課,-1,-1,1,名詞,固有名詞,組織,*,*,*,総務課,そうむか,ソウムカ
永山,-1,-1,1,名詞,固有名詞,人名,姓,*,*,永山,ながやま,ナガヤマ
十倉,-1,-1,1,名詞,固有名詞,人名,姓,*,*,十倉,とくら,トクラ
宏二,-1,-1,1,名詞,固有名詞,人名,名,*,*,宏二,こうじ,コウジ
小島孜,-1,-1,1,名詞,固有名詞,人名,姓名,*,*,小島孜,こじまつとむ,コジナツトム
多田元英,-1,-1,1,名詞,固有名詞,人名,姓名,*,*,多田元英,,
谷川恭雄,-1,-1,1,名詞,固有名詞,人名,姓名,*,*,谷川恭雄,,
奥村太加典,-1,-1,1,名詞,固有名詞,人名,姓名,*,*,奥村太加典,,
休暇,-1,-1,1,名詞,固有名詞,一般,一般,*,*,休暇,,
議事録,-1,-1,1,名詞,固有名詞,一般,一般,*,*,議事録,,
定数,-1,-1,1,名詞,固有名詞,一般,一般,*,*,定数,,
協賛,-1,-1,1,名詞,固有名詞,一般,一般,*,*,協賛,,
オブザーバー,-1,-1,1,名詞,固有名詞,一般,一般,*,*,オブザーバー,,
環境,-1,-1,1,名詞,固有名詞,一般,一般,*,*,環境,,
松原,-1,-1,1,名詞,固有名詞,一般,姓,*,*,松原,,
